file,paragraph count,sentences per paragraph,words per paragraph,characters per paragraph
278,6,2.1666666666666665,56.5,218.5
348,3,5.0,131.66666666666666,553.3333333333334
666,5,5.2,80.2,308.4
733,5,3.0,72.4,293.2
976,3,4.333333333333333,62.333333333333336,251.0
1612,7,1.2857142857142858,54.0,195.14285714285714
2024,5,3.8,72.2,280.4
2664,6,4.0,128.0,527.5
2829,5,3.6,74.2,338.4
2991,3,5.333333333333333,137.0,554.0
3044,4,4.75,63.75,235.25
3150,4,3.5,55.75,223.25
3228,5,3.6,83.2,332.4
3323,4,4.5,101.75,393.75
3668,5,3.8,77.6,301.4
4009,5,3.0,83.2,368.0
4030,5,4.2,113.6,472.2
4519,4,3.0,63.75,255.5
4750,5,4.0,75.6,304.6
4837,4,3.75,68.25,323.5
4955,4,3.75,85.75,356.0
5105,3,1.6666666666666667,127.0,515.0
5301,2,6.0,109.5,456.5
5308,4,3.25,54.25,211.0
5497,4,3.0,74.25,294.0
5565,1,1.0,197.0,874.0
6324,5,1.8,77.4,344.0
6514,5,4.8,81.2,343.0
6614,5,3.4,61.2,216.6
6736,4,5.75,123.5,498.75
6767,4,3.25,63.25,272.25
7406,4,3.25,94.75,392.5
7748,4,3.5,78.0,332.75
7965,4,3.25,71.75,322.25
7998,4,6.0,93.75,345.75
8117,5,3.6,68.0,270.2
8482,3,6.0,122.66666666666667,540.3333333333334
8677,4,3.5,57.75,215.0
8817,4,4.75,77.75,317.0
8966,5,3.2,69.6,299.2
9006,4,3.5,71.0,284.25
9024,3,4.0,116.0,510.3333333333333
9329,5,3.4,70.4,311.6
9443,5,2.6,81.2,345.0
9928,4,4.75,73.0,308.75
10017,4,4.5,65.25,284.75
10081,4,4.75,102.75,437.5
10215,5,3.0,64.8,249.2
10226,1,9.0,102.0,390.0
10229,1,3.0,74.0,262.0
10345,4,5.5,128.5,595.75
10392,6,3.8333333333333335,71.66666666666667,296.1666666666667
10417,4,3.5,94.75,430.25
10445,4,4.25,80.25,384.75
10535,6,3.5,74.16666666666667,335.3333333333333
10641,5,3.4,78.6,299.8
10670,5,5.0,79.8,324.0
10769,3,4.0,132.33333333333334,577.3333333333334
11203,6,3.0,50.666666666666664,210.16666666666666
11347,7,3.4285714285714284,66.14285714285714,303.0
11353,5,3.4,70.6,288.6
11425,6,3.1666666666666665,58.666666666666664,252.16666666666666
11557,5,4.2,82.8,345.4
11566,5,3.0,63.4,278.8
11580,7,2.7142857142857144,53.0,205.42857142857142
11632,4,2.75,67.25,287.5
11644,1,24.0,360.0,1480.0
11717,4,5.0,115.5,517.75
11923,4,4.5,100.75,441.75
12015,10,1.1,33.4,141.7
12040,3,3.0,120.0,452.3333333333333
12072,5,2.8,72.4,312.0
12130,1,1.0,86.0,351.0
12410,6,2.1666666666666665,71.0,303.5
12533,5,3.0,98.8,424.8
12600,4,5.75,84.75,378.5
12731,4,4.25,63.0,269.25
12779,1,21.0,335.0,1325.0
13148,5,3.6,65.0,270.6
