file,score
278,medium
348,high
666,medium
733,medium
976,low
1612,medium
2024,medium
2664,high
2829,high
2991,high
3044,low
3150,low
3228,medium
3323,medium
3668,medium
4009,high
4030,high
4519,medium
4750,high
4837,medium
4955,medium
5105,low
5301,low
5308,medium
5497,medium
5565,low
6324,medium
6514,high
6614,low
6736,high
6767,medium
7406,medium
7748,medium
7965,medium
7998,medium
8117,high
8482,high
8677,medium
8817,medium
8966,medium
9006,medium
9024,medium
9329,high
9443,medium
9928,medium
10017,medium
10081,high
10215,medium
10226,low
10229,low
10345,high
10392,high
10417,high
10445,medium
10535,medium
10641,medium
10670,medium
10769,high
11203,medium
11347,medium
11353,medium
11425,high
11557,high
11566,medium
11580,high
11632,medium
11644,medium
11717,high
11923,medium
12015,medium
12040,medium
12072,medium
12130,low
12410,high
12533,high
12600,low
12731,low
12779,medium
13148,medium
13194,medium
13210,high
13940,medium
14157,medium
14163,medium
14288,medium
14382,medium
14397,high
14471,low
15340,medium
15663,high
16003,high
16038,medium
16073,high
16793,high
17339,medium
17807,low
17845,medium
18090,high
18443,medium
18553,medium
18589,medium
18618,medium
18690,medium
18772,medium
18783,low
18970,medium
19280,medium
19812,medium
19982,low
20023,high
20063,medium
20156,high
20376,medium
20400,high
21007,medium
21052,high
21310,medium
21595,medium
21598,medium
22025,high
22056,medium
22249,low
22394,high
22549,high
22597,medium
22698,high
22919,high
23062,high
23175,high
23291,high
23292,medium
23684,medium
23897,medium
23925,high
23976,medium
24202,medium
24266,high
24312,medium
24427,medium
24514,low
24637,high
24975,high
25063,high
25431,medium
25554,high
25841,high
25867,medium
25948,high
26027,medium
26125,medium
26388,medium
26649,low
26720,medium
26729,high
26917,medium
27217,high
27234,medium
27527,medium
28261,high
28364,high
28471,medium
28532,low
28557,medium
28609,high
28610,medium
28771,low
28789,medium
28841,medium
29229,medium
29289,low
29397,medium
29470,medium
29490,high
29693,medium
29696,high
29755,high
29789,medium
29905,low
29959,high
30159,high
30584,high
30668,medium
31117,medium
31135,medium
31544,medium
31650,medium
31998,high
32073,high
32629,medium
32672,high
32900,high
32922,low
33102,medium
33745,medium
33811,high
33857,high
33973,medium
34125,high
34393,medium
34566,medium
35061,medium
35220,medium
35420,medium
35548,high
35820,medium
35950,medium
35984,high
36056,high
36239,high
36300,medium
36328,high
36413,medium
36602,high
36663,medium
36673,high
36833,medium
37662,high
37703,high
37807,medium
38070,high
38209,high
38221,medium
38535,high
38571,high
38653,low
38979,medium
38980,medium
38991,medium
39030,medium
39189,low
39532,low
40209,high
40378,medium
40422,high
40554,high
40863,high
41232,medium
41419,medium
41427,high
41809,low
41900,low
42310,medium
42592,medium
42600,medium
42738,low
42760,high
43112,high
43322,medium
43558,medium
43677,medium
43685,medium
43771,high
44062,medium
44162,medium
44565,low
44669,high
44804,medium
44844,medium
44961,medium
45134,medium
45347,medium
45353,medium
45595,medium
46209,medium
46245,high
46266,high
46344,medium
46596,medium
46768,medium
46776,low
46827,medium
46849,medium
47554,medium
47790,high
47814,high
47853,low
47916,low
48684,high
48734,high
48984,medium
49636,medium
49823,medium
50082,medium
50229,high
50710,high
50865,medium
50958,high
51386,medium
51757,medium
51759,medium
52054,high
52063,high
52674,medium
52951,high
53993,medium
54026,medium
54118,medium
54162,medium
54191,medium
54260,medium
54366,high
54377,high
54396,high
54482,medium
54719,medium
54915,medium
54939,medium
55034,medium
55403,high
55565,medium
55857,medium
55923,medium
55925,medium
56222,medium
56282,medium
56736,medium
56782,high
56963,high
57409,medium
57433,medium
57452,medium
57604,low
57752,high
57757,medium
58395,high
58551,medium
58832,high
58916,high
59053,high
59485,low
59730,low
59819,medium
59848,medium
59983,medium
60059,medium
60162,high
60196,medium
60595,medium
60670,high
60713,high
60738,high
61030,high
61190,medium
61275,medium
61450,medium
61529,medium
61765,low
61847,high
61870,low
62188,medium
62374,medium
62447,high
62820,high
63040,medium
63189,high
63277,medium
63578,medium
63719,high
64009,high
64171,high
65339,high
65345,high
65506,high
65734,high
65865,medium
65870,medium
65877,medium
66028,medium
66233,high
66235,high
66530,medium
66589,medium
66592,medium
67035,high
67062,medium
67123,medium
67346,high
67471,medium
67639,high
67805,high
67816,medium
68157,high
68582,medium
68592,high
68678,medium
68739,high
69111,high
69177,medium
69255,medium
69393,high
69491,medium
69510,medium
70027,medium
70247,medium
70330,medium
70397,low
70619,high
70644,medium
70661,high
70824,low
70965,medium
71654,high
72063,high
72083,medium
72114,medium
72320,medium
72376,medium
73082,medium
73163,medium
73212,medium
73222,low
73297,medium
73427,medium
73501,low
73721,medium
74281,low
74297,high
74452,medium
74580,medium
74820,high
74903,medium
75381,low
75868,low
76005,high
76152,medium
76434,medium
76547,medium
76614,high
76666,medium
76831,medium
76891,medium
77255,medium
77388,medium
77621,medium
77838,medium
78009,medium
78264,high
78400,medium
78609,medium
78794,medium
78935,medium
79025,medium
79211,medium
79224,high
79442,medium
79595,low
79709,high
79816,medium
79837,high
79842,high
79990,medium
80920,medium
81218,low
81227,medium
81437,high
81507,medium
81735,medium
81824,medium
82006,high
82026,medium
82120,medium
82613,medium
82993,medium
83182,high
83187,high
83250,high
83310,medium
83587,high
83615,high
83874,low
84002,high
84139,medium
84242,high
84459,high
84753,high
84912,medium
85022,high
85142,medium
86347,high
86771,medium
86821,medium
87087,low
87097,medium
87101,medium
87161,high
87463,medium
88000,medium
88141,medium
88199,medium
88202,medium
88244,low
88310,medium
88445,high
88622,high
89547,medium
89643,high
89860,medium
89885,high
89896,high
90472,medium
90750,high
90951,high
91268,medium
91681,low
91899,medium
91965,high
92230,medium
92842,low
92904,low
93143,medium
93531,medium
93566,medium
93909,high
94274,medium
94398,medium
94426,high
94633,medium
94655,medium
94768,medium
95152,medium
95244,high
95406,low
95457,medium
95466,high
95508,high
95789,high
95826,high
95939,low
96033,medium
96321,medium
96404,medium
96442,medium
96578,medium
96909,medium
97031,medium
97192,high
97262,medium
98093,medium
98215,medium
98264,high
98336,medium
98497,high
98534,medium
98551,medium
98579,medium
98747,high
98792,medium
98897,medium
99231,high
99372,medium
99527,medium
100021,low
100082,medium
100101,medium
100132,medium
100188,medium
100202,medium
100336,medium
100416,low
100483,high
100513,high
100625,low
100691,medium
100765,high
100791,high
101001,medium
101063,medium
101126,medium
101267,medium
101556,high
101568,high
101765,medium
102061,high
102297,medium
102489,high
102535,medium
102695,low
102872,high
102895,medium
103189,high
103424,high
103545,high
103759,high
103840,low
103851,medium
104080,high
104261,medium
104344,medium
104396,medium
104414,medium
104610,medium
104726,high
104767,low
104807,medium
104896,low
104966,high
105061,high
105101,medium
105159,medium
105179,high
105202,high
105218,high
105219,high
105390,medium
105404,medium
105546,high
105670,low
105677,low
105779,medium
105815,medium
105893,medium
105955,medium
105974,medium
106007,high
106022,high
106055,medium
106214,medium
106467,low
106547,medium
106584,medium
106586,high
106724,high
106772,high
106793,high
106895,medium
107269,high
107338,medium
107514,high
107740,low
107816,low
107980,medium
108089,medium
108094,medium
108118,high
108214,medium
108260,medium
108264,high
108367,medium
108543,high
108565,medium
108625,high
108870,low
108871,high
108983,medium
109011,medium
109265,medium
109326,high
109346,medium
109364,medium
109415,high
109578,medium
109687,medium
109774,medium
109910,high
110026,high
110038,medium
110274,medium
110394,high
110423,high
110509,high
110637,low
111042,high
111230,medium
111518,medium
111532,low
111601,high
111649,medium
111664,low
111701,medium
111830,medium
112005,medium
112069,medium
112115,high
112184,high
112269,medium
112298,medium
112315,low
112324,medium
112333,medium
112343,medium
112494,low
112592,medium
112715,medium
112805,medium
112845,low
112877,low
113010,medium
113036,medium
113267,medium
113320,medium
113518,high
113678,medium
113858,medium
114120,high
114142,medium
114151,high
114219,medium
114296,medium
114410,low
114502,low
114592,medium
114632,low
114679,medium
114752,medium
114803,medium
114814,medium
114907,medium
115000,low
115009,low
115095,high
115131,high
115179,high
115374,medium
115407,medium
115435,medium
115475,high
115526,medium
115632,medium
115743,medium
115952,high
115956,high
116085,high
116281,medium
116293,high
116322,low
116333,high
116465,high
116491,high
116604,medium
116669,high
116813,high
116841,high
116952,high
117237,high
117293,medium
117426,medium
117434,high
117512,medium
117940,high
118423,high
118490,high
118758,medium
118886,medium
119361,medium
119667,medium
119703,medium
119900,medium
119912,medium
120103,medium
120129,high
120142,medium
120573,medium
120610,high
120762,high
120793,high
120858,medium
121005,high
121083,medium
121142,low
121238,high
121295,medium
121393,medium
121551,medium
122043,high
122164,high
122241,medium
122553,medium
122973,medium
123556,high
123581,medium
123588,high
123683,high
123885,high
123954,medium
124000,high
124091,medium
124473,medium
124603,high
125037,high
125107,medium
125347,medium
125348,medium
125439,medium
125545,medium
125704,low
125794,high
126012,high
127102,medium
127154,high
127325,medium
127595,medium
127642,medium
127656,medium
127657,high
127866,medium
128033,high
128563,medium
128690,medium
128748,medium
128798,high
128987,medium
129159,medium
129269,medium
129378,low
129424,medium
129659,low
129964,medium
130215,high
130222,medium
130429,low
131059,high
131064,medium
131324,low
131717,medium
131838,medium
132028,high
132359,medium
132480,low
132694,medium
133115,high
133459,medium
133656,medium
133707,medium
133858,medium
133862,medium
133902,high
134339,low
134469,high
135062,high
135078,medium
135427,medium
135448,low
135719,high
136035,medium
136109,medium
136161,high
136235,medium
136346,low
136505,medium
137438,medium
137466,low
137777,low
138075,low
138102,high
138335,low
138562,high
138585,medium
138619,medium
138925,high
138942,high
139004,high
139027,high
139094,low
139132,high
139316,high
139592,medium
139743,high
139819,high
139820,medium
139883,medium
139949,medium
140055,medium
140184,medium
140614,medium
140637,medium
141346,medium
141405,medium
141650,medium
141811,high
142114,medium
142576,high
142642,low
142685,high
142991,medium
143306,medium
143563,medium
143780,medium
143785,medium
144045,low
144050,low
144209,medium
144375,medium
144418,high
144629,medium
144911,medium
144990,medium
144997,medium
145496,high
145529,medium
145580,medium
145644,low
145666,low
