# Response ID, Median sentence length by number of characters
1000025,81
1000168,83.0
100021,126
1000235,173.0
1000276,82.5
1000392,83.0
1000434,86.5
1000528,67.0
1000545,106.0
1000599,66.0
1000617,75
1000719,117.0
100082,104.5
100101,104.5
1001053,7
1001063,45
1001183,90.5
1001213,151.0
1001278,93.0
1001309,129.5
100132,79.0
1001384,99
1001502,156.0
1001566,87
1001574,95.0
1001604,349
1001632,119
10017,66.5
100188,76.5
1001901,76.5
100202,122
1002453,210.0
1002561,190
1002761,39.0
1002932,85.5
1002985,73
1003066,98.5
1003126,82
1003152,165
1003222,80
1003331,149
100336,122.5
1003423,115
1003496,127
1003553,148
1003689,92
1003939,213
1004000,89.5
1004097,74.0
1004135,62
100416,197.5
1004306,103.5
1004335,123
1004355,125.5
1004376,214
1004476,109
1004652,82
1004657,75.0
100483,106.5
1004862,71
1004924,95
1005053,69.0
1005075,121.5
100513,91
1005142,106
1005231,93
1005252,106.5
1005398,84
1005473,91
1005501,122
1005551,110.5
1005569,118.0
1005743,74.0
1005751,96.0
1005775,76
1005891,79
1005892,128
1005942,128.5
1006118,115.5
1006136,97.5
1006179,55.5
1006246,122.5
100625,104
1006274,129.5
1006416,92.5
1006482,129
1006488,115
1006535,125
1006571,115.0
1006666,92.5
1006787,104.0
1006883,125
100691,91
1007162,110
1007263,83
1007337,73
1007363,120
100765,82
1007764,165
100791,205
1007981,73
1008086,84.0
10081,79
1008264,106.0
1008326,87.5
1008399,69
1008407,87.5
1008450,132
1008486,103
1008605,83.5
1008636,105
1008655,80.5
1008666,103.5
1008698,187
1008718,116.5
1008740,65.5
1008880,66
1009245,171.5
1009294,64
1009359,102
1009596,115
1009747,101
1009768,111.0
1009798,69
1009929,195
101001,120.0
1010108,107.5
1010115,148
1010314,79
1010575,143.0
101063,85
1010664,99
1010711,116
1010839,114
1010903,75
1010932,131.0
1010952,82.0
1010988,208
1011010,96.0
1011026,74.5
1011083,241
1011110,58
101126,160.0
1011317,87
1011356,58
1011364,116
1011418,62
1011426,78
1011436,123
1011443,114
1011531,135
1011616,261
1011748,140.5
1011795,74.5
1011805,80
1011962,96
1012047,106.0
1012075,76
1012091,64
1012151,113.0
1012412,251.5
1012427,50
1012604,176
1012615,133.0
1012631,126.0
1012679,114.5
101267,92
1012691,72
1012862,102
1012898,85
1012944,138.5
1013033,74.5
1013285,108
1013447,117.0
1013452,152.0
1013583,88
1013600,169
1013669,191.0
1013761,145.5
1013913,143.0
1014199,107.0
1014244,84.5
1014249,152.0
1014313,120
1014344,119.5
1014428,87
1014497,91.5
1014559,174.0
1014680,112.5
1014724,80
1014908,95.5
1014926,124.5
1014998,90.5
1015056,91
1015409,141
1015438,99
1015461,77.5
101556,172
1015664,103.0
101568,84
1015723,103
1015763,85
1015924,140.0
1015996,73.0
1016100,55.5
1016245,89.0
1016298,166
1016403,67.0
1016557,94.5
1016577,59.5
1016594,66
1016612,98.0
1016671,109
1016703,76
1016757,82.0
1016883,102.0
1017001,146.5
1017038,92
1017089,94.5
1017099,88
1017104,86
1017153,112
1017179,164.0
1017259,67.5
1017282,91.5
1017400,60.0
1017450,40.0
1017608,123
1017620,112
1017635,91.0
101765,63.0
1017679,117.5
1017829,87.0
1017876,98
1017877,144
1017901,132.0
1018443,77.0
1018459,102
1018545,157
1018784,74.0
1018958,102
1019050,91.0
1019424,92.0
1019537,81
1019679,103
1019727,119.5
1019743,86.0
1019772,73
1020012,109
1020096,48.5
1020198,67
1020466,160
1020574,114.5
102061,132.5
1020691,121.0
1020837,101
1020869,110.5
1020881,118.0
1020906,88
1021024,88.0
1021027,93
1021251,111
1021281,87
1021364,54
1021461,127.0
1021492,130
1021580,103.0
10215,93
1021645,214.5
1021667,75.5
1021707,137.5
1021765,102
1021767,115.0
1021770,261.0
1021877,111
1021923,160.5
1021965,81.0
1021981,83.0
1022190,77.5
1022215,100
1022285,91.5
1022384,142
1022439,84
10226,50
1022873,122.5
102297,117
10229,38.0
1023150,104
1023222,84
1023301,90
1023469,130
1023534,135
1023547,97.0
1023612,78.0
1023674,115
1023696,108
1023918,82.0
1023946,92.5
1023952,100
1024129,80
1024250,330
1024264,104
1024274,111
1024355,143
1024402,74
1024522,97.0
1024530,116.0
1024621,152
1024659,118.0
102489,139.5
1025195,100.0
102535,103
1025464,110
1025558,188.5
1025599,106.5
1025673,91.5
1025752,83
1025965,84.5
1025974,84.0
1026027,162.5
1026061,79
1026161,75
1026221,104
1026229,119.5
1026294,103
1026395,69.0
1026402,194
1026714,80
1026734,90
1026756,130
1026798,255
102695,91.0
1026981,107.5
1027139,68
1027152,90.5
1027345,75
1027356,121
1027384,101.0
1027445,105.0
1027505,89.5
1027540,145
1027602,64
1027793,122
1027891,91.5
1027916,87.5
1027947,84
1028012,87.5
1028131,125.5
1028152,101
1028214,54
1028226,78
1028308,74
1028323,110
1028434,80
1028542,74
102872,100.0
1028734,122
1028744,103
1028903,135.5
1028941,80.5
102895,64
1028980,101.0
1029018,73
1029038,70
1029045,152.5
1029138,156.0
1029239,64.0
1029399,82
1029696,170.5
1029742,68.5
1029769,100.0
1029787,132
1029861,117
1029906,89
1029988,152.0
1029996,127.5
1030079,209.5
1030165,126.0
1030265,165.0
1030267,99.5
1030588,79
1030770,69.0
1030800,129
1030833,120.0
1030846,259.0
1030852,107
1030947,89.0
1031161,93
1031293,88
1031347,76
1031374,175.0
1031443,57.5
1031452,70
1031531,116.5
1031594,82.0
103189,172
1031927,76
1032028,135
1032060,64.0
1032509,108.0
1032633,100
1032851,135.0
1032915,115
1033128,153
1033177,144.0
1033201,104
1033242,172
1033249,64
1033252,151.0
1033373,85
1033374,79
1033535,146.5
1033760,82
1033779,51
1033827,161.5
1033931,85
1034006,126.5
1034028,64.5
1034031,84
1034078,129
1034095,112.5
1034186,132
1034191,66.5
103424,63.0
1034419,114
1034439,153.0
1034481,103.5
1034522,82.5
1034558,137
10345,122.5
1034720,170
1034797,79
1034833,157
1034968,135
1035025,82.0
1035126,107.5
1035213,73
1035233,75
103545,72
1035799,69.5
1035814,72.0
1035880,101
1035943,107.5
1036123,177.0
1036284,166.0
1036331,92
1036451,72
1036477,98
1036917,129.5
1036941,161.5
1036993,104
1037075,170.5
1037084,86
1037113,207.0
1037117,76.0
1037247,49
1037349,85.0
1037397,104.0
1037521,134.0
1037543,88
1037575,40.0
1037578,109
103759,92
1037690,134.5
1037898,115.5
1038048,97
1038083,101.5
1038325,93
1038347,94
1038393,99.0
103840,94.0
1038419,86.5
103851,108.0
1038555,96
1038651,70.0
1038710,100.5
1038759,117.0
1038767,125
1038858,61.0
1038859,113
1038904,74.5
1038976,158.5
1039053,100
1039088,64
1039092,129.0
1039104,68.0
1039122,90
1039141,135
1039172,107.0
1039238,115
1039278,158.5
10392,102
1039360,65.0
1039377,60.0
1039658,106.5
1039861,111.0
1039976,66.5
1040067,84
1040073,228
1040096,106.0
1040198,91
1040327,112
1040433,102.5
1040452,60
1040502,107.0
1040518,80
1040595,100
1040606,73.5
1040744,676
104080,110.5
1040919,111.0
1041085,115.0
1041086,76.0
1041264,130
1041315,103
1041350,114.0
1041402,61.5
1041462,153.5
1041624,134.0
10417,142.0
1041832,103.5
1042544,116
1042567,126.5
104261,67.0
1042872,104
1042969,107
1042970,44.0
1043095,72
1043338,49
104344,55
1043585,69
1043817,67
1043863,64.0
104396,123.0
1044003,161.5
1044127,42
104414,74
1044255,86
1044359,74
1044423,99
1044456,92.0
1044505,95.5
1044553,117
1044594,155.0
10445,101
1044657,90.0
1044688,128.5
1044838,128
1044849,69
1044940,220
1045034,64
1045193,55.5
1045224,129.0
1045316,81
1045391,112
1045426,103.5
1045445,75.0
1045518,115.0
1045547,60
1045710,157.5
1045762,84.0
1045779,49
1045802,84.0
1045808,94.5
1045966,81
1046028,126
1046045,95.5
1046053,86
1046064,159
1046103,104
104610,134.5
1046120,91
1046238,117
1046278,94.5
1046358,93.0
1046466,242
1046625,104.0
1046872,163.0
1046927,90.5
1047003,122.0
1047013,129
1047079,94
1047207,84
1047227,86.5
104726,129.5
1047353,127.0
1047357,138
1047489,93.5
1047495,94
104767,74.0
1047824,98.5
1047838,73
1047872,137.5
1047886,60
1047921,105
1047922,118
1047966,90
1047971,152
1047983,29
104807,69.5
1048128,99
1048130,79
1048159,81.5
1048280,126
1048341,125
1048364,122.0
1048472,136.0
1048529,93.0
1048738,75.0
1048742,235
1048761,63.0
1048805,90.0
1048903,132
1048952,129.5
104896,75.5
1048984,385
1049008,129
1049012,119.0
1049114,105.0
1049179,163
1049261,155.5
1049276,111.0
1049329,79.0
1049429,132.5
1049460,65.0
1049472,117.0
1049574,106
104966,128
1049746,103
1049846,107
1049849,115.5
1049910,94.0
1049951,124.5
1050304,84
1050342,147.5
1050463,112.0
1050504,64.0
1050553,87.5
105061,105.0
1050622,106.5
1050860,64.0
1050908,93
1050931,813
1050955,95.0
105101,111
1051036,141.0
1051270,99.0
1051276,93.0
1051474,160
1051518,70.5
105159,77
1051796,102.0
105179,131.5
1051912,94
1051940,71.0
1052028,68.5
1052029,84
105202,89
1052074,105
1052103,61
1052180,142.0
105218,102
105219,93.5
1052209,91.0
1052326,96.0
1052334,62
1052336,111
1052362,69.5
1052378,97
1052420,123
1052464,78.5
1052475,59
1052529,74.5
1052664,128.5
1052677,195
1052687,87.0
1052914,118
1052915,83.0
1053038,142
1053130,88.5
1053154,152
1053159,123.5
1053179,83.0
1053185,111.5
1053274,121.0
1053312,49
1053317,104.0
1053319,160
1053480,76
1053568,82.0
10535,111.0
1053764,81
105390,91
1053966,112
1053994,90.5
105404,72
1054125,153
1054261,76
1054274,96
1054290,85
1054294,73
1054317,98.5
1054353,438.0
1054442,94
1054476,113.0
1054640,70.5
1054654,72.5
1054672,107
1054691,121.0
1054730,112.5
1054917,134
1054940,86
1055117,120
1055139,66
1055163,114.5
1055177,83
1055205,121.5
1055329,101.0
105546,162.5
1055473,68.5
1055508,97.0
1055524,153.0
1055639,44
1055656,94
1055820,85
1055868,146.5
1055941,103
1055965,102.0
1056099,128
1056327,114.5
1056329,55.5
1056537,101.5
105670,74.0
105677,53
1056811,127
1056841,110
1057078,135.5
1057163,123.0
1057251,90.0
1057485,95
1057533,49
1057575,102
1057625,89
105779,105
1057810,114
1057852,137.5
1058104,91
1058151,83
105815,175.5
1058201,115.5
1058326,94
1058350,103.5
1058415,89
1058476,56.0
1058559,70.5
1058759,126.5
1058811,106
105893,156
1059007,115.5
1059253,109.0
1059305,133.0
1059344,95
1059458,141.0
1059545,270
105955,82
1059581,88
1059615,98.5
1059679,107.5
105974,78
1059882,104.5
106007,98.5
1060083,110
1060152,122
1060155,68
106022,91.0
1060401,88.0
106055,82
1060599,93.5
1060707,107.0
1060861,114.5
1060888,125.0
1060937,81
1061074,132.0
1061087,84
1061121,246
1061257,113
1061299,88.5
1061328,156.5
1061442,85.0
1061522,86
1061634,94.0
1061654,116.5
1061753,130
1061777,82.5
1061910,124
1061931,78
1061996,129
106214,71.5
1062151,104
1062224,126.5
1062397,76
1062461,86
1062824,193.0
1062900,115
1062956,244.0
1063116,119
1063282,91.0
1063382,57
1063435,85.0
1063443,80
1063478,112
1063481,157.5
1063514,92
1063731,115
1063758,129.0
1063781,159.5
1063805,96
1063857,163
1063915,71.5
1063980,440
1064058,64.0
1064149,100.0
10641,119
1064273,77.5
1064359,52.0
1064402,154.5
1064440,99
1064474,112
1064481,91
1064490,71.0
1064511,81
1064514,246.5
1064657,136
106467,106.0
1064740,102
1064788,72.0
1064817,136
1065118,87.5
1065343,137.0
1065347,83.0
106547,90.5
1065491,133
1065522,130
1065623,112.0
1065714,86
1065788,98
106584,55.0
106586,103
1065933,135
1065943,67.5
1066097,120.0
1066286,150
1066357,115.0
1066388,92.0
1066392,132
1066453,84
1066543,149
1066560,70
1066683,56.0
1066802,95
1066839,101
1066847,102.5
1066886,90.5
1066982,218
1066984,106
1067011,70.0
1067028,58.0
1067037,83.0
1067059,149.5
10670,81
1067151,111
1067180,82.5
106724,112
1067299,188
1067311,139
106772,97
1067754,91
106793,117.0
1068333,77
1068419,91
1068473,62
1068762,119
1068953,72.5
106895,90
1069036,148.5
1069041,66.0
1069135,141
1069167,100
1069251,77
1069313,114
1069384,120.0
1069389,84
1069391,101
1069410,69
1069486,108
1069685,85.5
1069829,147
1069998,105
1070118,89.0
1070259,60
1070292,77.0
1070334,129
1070349,85
1070375,77.5
1070521,90.5
1070723,360
1070789,75.5
1071263,67.0
1071284,266
1071511,329
1071513,76.5
1071641,65.5
1071692,158
1071781,116
1071822,183
1071846,122.5
1071943,97.5
1072072,92
1072087,92.0
1072397,107
1072520,97
1072528,104.0
1072606,79
1072658,78.0
1072659,162.5
107269,137.0
1072963,68.0
1072988,88.0
1073001,52.5
1073014,85
1073024,111.0
1073131,135.5
1073147,108.5
107338,79
1073420,118
1073428,181.0
1073628,98
1073659,109
1073764,64.0
1073809,170.0
1073830,136
1073932,102
1074210,78.0
1074304,151
1074328,204
1074331,217.5
1074456,120
1074703,58.5
1074721,69.0
1074783,137
1075051,112
107514,117.5
1075178,102
1075194,135.5
1075243,112
1075287,80
1075294,159.0
1075337,123
1075424,80
1075446,117.0
1075450,116
1075554,88.0
1075584,73.0
1075656,158.5
1075768,165
1075813,81.0
1075905,93
1075926,78
1076020,96
1076065,87.0
1076066,223
1076135,101
1076207,111.5
1076246,114.5
1076301,79.5
1076321,83.5
1076438,173
1076490,109
1076492,77.0
1076546,109
1076556,147
1076588,151.0
1076604,120
1076664,89.0
1076677,129
