file,unique lemmas per 100 lemmas,total lemmas
88,33.07291666666667,384
278,33.021806853582554,321
348,43.68131868131868,364
666,38.440111420612816,359
733,36.607142857142854,336
976,42.35294117647059,170
1612,30.985915492957744,355
2024,34.4311377245509,334
2664,34.40233236151604,686
2829,47.73413897280967,331
2991,38.46153846153847,364
3044,37.15596330275229,218
3150,56.74157303370787,178
3228,37.333333333333336,375
3323,26.878612716763005,346
3668,40.28985507246377,345
4009,34.883720930232556,387
4030,44.61839530332681,511
4519,50.467289719626166,214
4750,38.940809968847354,321
4837,48.97959183673469,245
4955,33.22884012539185,319
5105,40.51724137931034,348
5301,56.613756613756614,189
5308,49.22279792746114,193
5497,45.25547445255474,274
5565,49.23076923076923,195
6324,37.94117647058823,340
6514,39.02439024390244,369
6614,30.681818181818183,264
6736,35.99088838268793,439
6767,46.95652173913044,230
7406,37.07865168539326,356
7748,44.014084507042256,284
7965,54.1501976284585,253
7998,32.288401253918494,319
8117,35.73770491803279,305
8482,43.02670623145401,337
8677,42.924528301886795,212
8817,43.309859154929576,284
8966,43.87096774193549,310
9006,44.31372549019608,255
9024,39.69230769230769,325
9329,46.64536741214057,313
9443,42.17506631299735,377
9928,44.44444444444444,261
10017,50.86206896551724,232
10081,42.19178082191781,365
10215,42.43421052631579,304
10226,57.47126436781609,87
10229,62.121212121212125,66
10345,48.917748917748916,462
10392,43.34203655352481,383
10417,52.01149425287356,348
10445,48.61111111111111,288
10535,42.67990074441687,403
10641,38.39779005524862,362
10670,33.42696629213483,356
10769,51.12359550561798,356
11203,46.619217081850536,281
11347,46.774193548387096,434
11353,44.5859872611465,314
11425,43.613707165109034,321
11557,35.230352303523034,369
11566,35.54006968641115,287
11580,42.24924012158054,329
11632,45.66929133858268,254
11644,36.990595611285265,319
11717,40.33816425120773,414
11923,41.53005464480874,366
12015,42.295081967213115,305
12040,36.90851735015773,317
12072,35.714285714285715,336
12130,50.0,76
12410,36.74540682414698,381
12533,46.99074074074074,432
12600,38.333333333333336,300
12731,41.6289592760181,221
